# Segments csv created Sun Mar  5 10:56:58 2017
# num_ytids=2041789, num_segs=2041789, num_unique_labels=527, num_positive_labels=4020212
# YTID, start_seconds, end_seconds, positive_labels
--1QYEYcVBs, 30.000, 40.000, "/m/04rlf,/m/09x0r"
--1UKJ18WMQ, 30.000, 40.000, "/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/0fx80y"
--1XHaNcX2Y, 50.000, 60.000, "/m/015lz1,/m/0164x2,/m/04rlf"
--1l6WGE7AU, 30.000, 40.000, "/m/02qldy,/m/05zppz,/m/09x0r"
--1lWqRXR_Q, 30.000, 40.000, "/m/04rlf,/m/09x0r"
--1nnAww5MY, 170.000, 180.000, "/m/09x0r"
--1rvyPa8UM, 40.000, 50.000, "/m/04rlf,/m/0glt670"
--1yd6dcNOQ, 30.000, 40.000, "/m/04rlf,/m/09x0r"
--23nKOwPzs, 30.000, 40.000, "/m/04rlf,/t/dd00003"
--24LG2mr-Y, 8.000, 18.000, "/m/04rlf,/t/dd00004"
--26Q_d1ooU, 30.000, 40.000, "/m/04rlf,/m/09x0r"
--27rbu__kM, 30.000, 40.000, "/m/09x0r"
--296-zXH3I, 30.000, 40.000, "/m/09x0r"
--299m5_DdE, 0.000, 5.000, "/m/07swgks,/m/0j2kx"
--2AZr9PIH8, 27.000, 37.000, "/m/04rlf,/m/09x0r"
--2ENPwFQLY, 30.000, 40.000, "/m/09x0r"
--2H9Dj9eMY, 30.000, 40.000, "/m/07yv9,/m/0k5j"
--2U9LPjlpk, 10.000, 20.000, "/m/09x0r,/m/0ytgt,/t/dd00125"
--2URMA4_Gw, 30.000, 40.000, "/m/04rlf"
--2V5hlNctI, 30.000, 40.000, "/m/04rlf,/m/09x0r"
--2XRMjyizo, 0.000, 10.000, "/m/015p6,/m/020bb7,/m/07pggtn"
--2iIT25cNE, 30.000, 40.000, "/m/04rlf,/m/04szw,/m/0cfdd"
--2shonBZTc, 30.000, 40.000, "/m/09x0r"
--2u0ZyO3x0, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
--2zH6Gmu0Q, 30.000, 40.000, "/m/02y_763"
--30J4RIDXs, 30.000, 40.000, "/m/09x0r"
--32cTwWz9M, 30.000, 40.000, "/m/09x0r"
--330hg-Ocw, 30.000, 40.000, "/m/02mk9,/m/07yv9,/m/0k4j,/t/dd00066,/t/dd00130"
--34LejG4cE, 20.000, 30.000, "/m/01kcd,/m/07c6l"
--385LpykT0, 40.000, 50.000, "/m/02lkt,/m/04rlf,/m/0fd3y,/m/0l14qv"
--3FNDQ-EfE, 30.000, 40.000, "/m/04rlf"
--3HEtfRe4I, 220.000, 230.000, "/m/015lz1,/m/04rlf,/t/dd00126"
--3IH5T6S0E, 30.000, 40.000, "/m/04rlf,/m/09x0r"
--3ObPi3Ygc, 30.000, 40.000, "/m/04rlf,/m/09x0r"
--3Po5mqhJg, 30.000, 40.000, "/m/04rlf,/m/05pd6"
--3SH5_r-BU, 30.000, 40.000, "/m/09x0r"
--3SMQlk4Y8, 520.000, 530.000, "/m/09x0r,/t/dd00125"
--3T7dwFLjU, 30.000, 40.000, "/m/09x0r"
--3flh9REUI, 30.000, 40.000, "/m/04rlf,/t/dd00034"
--3hodJyWWM, 20.000, 30.000, "/m/04rlf"
--3jW_uh2Pk, 340.000, 350.000, "/m/04rlf,/m/0fd3y"
--3lOAqWlwI, 30.000, 40.000, "/m/04rlf"
--3mqI-rLFQ, 30.000, 40.000, "/m/09x0r"
--4-JKDyLGg, 80.000, 90.000, "/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y,/t/dd00125"
--42a6bv16w, 30.000, 40.000, "/m/02qldy,/m/04rlf,/m/05zppz,/m/09x0r"
--44ksVCX4g, 130.000, 140.000, "/m/09x0r"
--46xGNV1H0, 30.000, 40.000, "/t/dd00067"
--4AZakCudI, 30.000, 40.000, "/m/09x0r"
--4CM0LIKBA, 30.000, 40.000, "/m/09x0r"
--4G-oot8ww, 30.000, 40.000, "/m/09x0r"
--4L-eLH27c, 30.000, 40.000, "/m/09x0r"
--4QdQLdWuQ, 19.000, 29.000, "/m/09x0r"
--4WSmaPiiM, 30.000, 40.000, "/m/04rlf,/m/0l14jd"
--4XCYPABls, 30.000, 40.000, "/m/09x0r"
--4Zxt4o1L4, 20.000, 30.000, "/m/09x0r"
--4cSNijC4I, 30.000, 40.000, "/m/09x0r"
--4iCrbXlas, 30.000, 40.000, "/m/04rlf,/m/09x0r"
--4kp9W7cNY, 160.000, 170.000, "/m/015lz1,/m/06cqb"
--4nvAAXWZw, 450.000, 460.000, "/m/09x0r"
--4qMR9M6tQ, 30.000, 40.000, "/m/04rlf,/t/dd00004"
--4r-bP8sfE, 30.000, 40.000, "/m/04rlf"
--4rtcXPH0c, 30.000, 40.000, "/m/04rlf"
--4uJNO9DXM, 30.000, 40.000, "/m/09x0r"
--51d28O-tM, 30.000, 40.000, "/m/09x0r,/t/dd00003"
--54f03jfPc, 30.000, 40.000, "/m/04rlf,/m/09x0r"
--577VosoSQ, 30.000, 40.000, "/m/09x0r"
--59h67y8BI, 30.000, 40.000, "/m/04rlf"
--5A5ZCa1dE, 80.000, 90.000, "/m/07yv9,/m/0cmf2,/m/0k5j"
--5DNFWcdC4, 2.000, 12.000, "/m/04rlf,/m/07s72n,/m/09x0r"
--5OkAjCI7g, 40.000, 50.000, "/m/07sq110,/m/0ytgt"
--5bgJ6Y5wo, 2.000, 12.000, "/m/09x0r"
--5iz1VjUr4, 30.000, 40.000, "/m/04rlf,/m/09x0r"
--5kRn6Ch3Y, 30.000, 40.000, "/m/04rlf,/m/09x0r"
--5uHDNDKxs, 30.000, 40.000, "/m/01yrx,/m/068hy,/m/0jbk"
--5zANFBYzQ, 30.000, 40.000, "/m/02sgy,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y"
--6-d5gd2W8, 30.000, 40.000, "/m/02qldy,/m/04rlf,/m/05zppz,/m/09x0r"
--65x-naOz0, 30.000, 40.000, "/t/dd00066"
--67GnHhwjk, 30.000, 40.000, "/m/04rlf,/m/09x0r"
--6CkUtkLUI, 30.000, 40.000, "/m/09x0r"
--6CxEMjO78, 30.000, 40.000, "/m/09x0r"
--6EN4MB7dg, 570.000, 580.000, "/m/04rlf,/m/09x0r,/t/dd00125"
--6EpMm2UDM, 0.000, 10.000, "/m/04rlf,/m/09x0r"
--6HJzEIsFs, 30.000, 40.000, "/m/04rlf,/m/06j6l"
--6STvL0FXE, 30.000, 40.000, "/m/02qldy,/m/05zppz,/m/09x0r"
--6YSADAJ58, 0.000, 7.000, "/m/06h7j,/m/09x0r"
--6aF5STVP8, 30.000, 40.000, "/m/07yv9"
--6csf9jojc, 30.000, 40.000, "/m/09x0r"
--6m4sccrsw, 200.000, 210.000, "/m/09x0r,/t/dd00129"
--6nuNcbMC8, 270.000, 280.000, "/m/09x0r"
--6o7MJyV9U, 50.000, 60.000, "/m/04rlf,/m/07yv9"
--6rpLIX5Uk, 30.000, 40.000, "/m/04rlf,/m/09x0r"
--6yruHjCzw, 30.000, 40.000, "/m/09x0r"
--73E04RpiQ, 0.000, 9.000, "/m/07r04,/m/07yv9"
--79AQ_CZko, 240.000, 250.000, "/m/015lz1,/m/04rlf"
--79SFzTl1Y, 30.000, 40.000, "/m/09x0r"
--7MeTMkd4s, 30.000, 40.000, "/m/04rlf,/m/05rwpb"
--7RQ59Nsc0, 30.000, 40.000, "/m/09x0r"
--7T50tAIrg, 6.000, 16.000, "/m/03kmc9,/m/09x0r"
--7UmfOkRbM, 30.000, 40.000, "/m/02qldy,/m/05zppz,/m/09x0r"
--7VmHMn_b4, 30.000, 40.000, "/m/04rlf,/m/09x0r,/t/dd00128"
--7itbX1F1U, 360.000, 370.000, "/m/09x0r,/t/dd00125"
--7jZxfzemI, 13.000, 23.000, "/m/068hy,/m/0bt9lr,/m/0jbk"
--7kxtfvbc4, 160.000, 170.000, "/m/09x0r"
--7m0TsA030, 30.000, 40.000, "/m/02sgy,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r"
--7pVHGDdYI, 90.000, 100.000, "/m/09x0r"
--7srtCMEQQ, 120.000, 130.000, "/m/06q74,/m/07yv9"
--86_7_wT90, 30.000, 40.000, "/m/04rlf"
--8Bq81udbw, 14.000, 24.000, "/t/dd00129"
--8GzVV9M3w, 80.000, 90.000, "/m/01lyv,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y"
--8MVXS8Has, 30.000, 40.000, "/m/04rlf,/m/09x0r"
--8OC7rKwbQ, 30.000, 40.000, "/m/04rlf,/m/09x0r"
--8P9gLvO0Q, 30.000, 40.000, "/m/01sm1g,/m/04rlf"
--8QUJRJrZE, 30.000, 40.000, "/m/09x0r"
--8Tk6qD22g, 18.000, 28.000, "/m/09x0r"
--8V-W_I7Ww, 30.000, 40.000, "/m/09x0r"
--8f5Wel3gs, 30.000, 40.000, "/m/04rlf,/m/09x0r"
--8hipdKBT4, 10.000, 20.000, "/m/012f08,/m/07yv9,/m/09x0r,/m/0k4j"
--8l9Vjy7aA, 30.000, 40.000, "/m/09x0r"
--8naMk20PA, 29.000, 39.000, "/m/04rlf"
--8puiAGLhs, 30.000, 40.000, "/m/02mk9,/m/07yv9,/m/0k4j,/t/dd00130"
--99xCPqZPg, 30.000, 40.000, "/m/09x0r"
--9IqGxzNYQ, 410.000, 420.000, "/m/04rlf"
--9O4XZOge4, 30.000, 40.000, "/m/02qldy,/m/02zsn,/m/09x0r"
--9QcurJjRg, 70.000, 80.000, "/m/04rlf"
--9VR_F7CtY, 30.000, 40.000, "/m/012f08,/m/07rknqz,/m/07yv9,/m/0k4j"
--9ckNk0Gyw, 30.000, 40.000, "/m/025td0t,/m/04rlf"
--9hKb7IkVY, 60.000, 70.000, "/m/03lty,/m/04rlf"
--9oYufMS_k, 0.000, 2.000, "/m/04rlf,/m/07s0dtb"
--9qaflvptM, 30.000, 40.000, "/m/04rlf"
--9yPWZVYZw, 30.000, 40.000, "/m/04rlf,/t/dd00035"
--A23VVk-qY, 11.000, 21.000, "/m/04rlf,/m/09x0r"
--A4Xbd8gCw, 120.000, 130.000, "/m/018vs,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y,/m/0ln16"
--A70BIU4OE, 30.000, 40.000, "/m/02lkt,/m/04rlf,/m/07s72n"
--AErD4Wx6c, 0.000, 10.000, "/m/015p6"
--ALJdZpYoA, 30.000, 40.000, "/m/04rlf"
--ALMd2UbwA, 30.000, 40.000, "/m/04rlf"
--AMykt23x8, 370.000, 380.000, "/m/04rlf,/m/09x0r"
--AQ3p3ymeE, 70.000, 80.000, "/m/04rlf,/m/06by7"
--AQYzDx57k, 0.000, 10.000, "/m/07rgt08,/m/09x0r"
--AUTFkUQhM, 30.000, 40.000, "/m/09x0r"
--Aig9EHjy0, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
--AndYr26Ns, 90.000, 100.000, "/m/04rlf"
--AqfES5q_0, 30.000, 40.000, "/m/09x0r"
--AuJ3up8Xs, 30.000, 40.000, "/m/09x0r"
--B-8v8HQ4k, 0.000, 9.000, "/m/09x0r"
--B7YBAygZU, 0.000, 10.000, "/m/03qtwd,/m/04rlf,/m/09x0r"
--BB-7-YoIk, 220.000, 230.000, "/m/015lz1,/m/04rlf"
--BCZB_m2q0, 30.000, 40.000, "/m/018w8,/m/04rlf,/m/0c1dj"
--BEDGAdLFs, 30.000, 40.000, "/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw"
--BEldtpCaU, 30.000, 40.000, "/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y"
--BFPeFaj2o, 0.000, 10.000, "/m/01g50p,/m/06d_3,/m/07jdr,/m/07yv9,/t/dd00129"
--BIlxKVCYk, 30.000, 40.000, "/m/05zppz,/m/09x0r"
--BIwg9KRxI, 130.000, 140.000, "/m/06bz3,/m/09x0r,/m/0b_fwt"
--BMVWju1-w, 30.000, 40.000, "/m/04rlf,/m/06j6l"
--BdguqnSjY, 30.000, 40.000, "/m/01b9nn,/m/04rlf,/m/09x0r"
--Bj994YDQI, 30.000, 40.000, "/m/04rlf,/m/09x0r"
--BnbZUiZ8o, 30.000, 40.000, "/m/04rlf"
--BpV0SPLcs, 30.000, 40.000, "/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y"
--BslWBgH3k, 30.000, 40.000, "/m/025td0t,/m/04rlf,/m/09x0r"
--Bu2xe4OSo, 430.000, 440.000, "/m/019jd,/m/03m9d0z,/m/07qwyj0,/m/07yv9,/m/09x0r,/t/dd00092,/t/dd00129"
--Bz8sbVdIY, 25.000, 35.000, "/m/04rlf,/m/09x0r"
--C2fgwf0vg, 200.000, 210.000, "/m/07p9k1k"
--C43J9zzJ8, 90.000, 100.000, "/m/04rlf,/m/09x0r,/t/dd00125"
--C4G3JCnPs, 30.000, 40.000, "/m/09x0r"
--C51aSN1N8, 30.000, 40.000, "/m/07s72n"
--C6HJ_gBPI, 30.000, 40.000, "/m/04rlf"
--C9bI0aqrY, 30.000, 40.000, "/m/09x0r"
--CAzrIAnEQ, 30.000, 40.000, "/m/09x0r"
--CBtgW6KcU, 30.000, 40.000, "/m/04rlf,/m/09x0r,/t/dd00003"
--CE2f-ttEQ, 30.000, 40.000, "/m/04rlf,/m/0bt9lr"
--CHY2qO5zc, 30.000, 40.000, "/m/07qjznl,/m/07qjznt"
--CIar_Kl4Y, 30.000, 40.000, "/m/04rlf"
--CSLX066J0, 30.000, 40.000, "/m/09x0r"
--CWkRb3dEU, 30.000, 40.000, "/m/09x0r"
--CZ-8vrQ1g, 30.000, 40.000, "/m/04rlf,/t/dd00031"
--CZ-HqbveY, 30.000, 40.000, "/m/04rlf"
--Cc0ZmStCs, 30.000, 40.000, "/m/04rlf,/m/06j6l,/m/0ggx5q"
--Cj78MFKAg, 480.000, 490.000, "/m/09x0r"
--CkM018DLw, 30.000, 40.000, "/m/09x0r"
--D0523UywI, 18.000, 28.000, "/m/09x0r"
--D32FJUFsA, 250.000, 260.000, "/m/02zsn"
--D3mJ0wwrg, 10.000, 20.000, "/m/07yv9"
--DLsLQYKk8, 30.000, 40.000, "/m/09x0r"
--DPrkc66qI, 6.000, 16.000, "/m/0brhx"
--DSvxkEeEk, 6.000, 16.000, "/m/04rlf,/m/09x0r"
--DazeFXg9g, 30.000, 40.000, "/m/09x0r"
--DbgPXwLlM, 30.000, 40.000, "/m/04rlf"
--DeqbRVR8M, 30.000, 40.000, "/m/09x0r"
--DjxHgINk0, 30.000, 40.000, "/m/04rlf,/m/09x0r"
--DpfB2gIlM, 21.000, 31.000, "/m/09x0r"
--Dqm421zY0, 30.000, 40.000, "/m/04rlf"
--Dxk606LRQ, 30.000, 40.000, "/m/02mk9"
--E2LEGr0LA, 230.000, 240.000, "/m/09x0r"
--E3k28veVc, 30.000, 40.000, "/m/04rlf,/m/0ggq0m"
--E8kQc4oeE, 30.000, 40.000, "/m/09x0r"
--EC5ZkYQNQ, 12.000, 22.000, "/m/04rlf,/m/09x0r"
--EDyuvG9oo, 19.000, 29.000, "/m/04rlf,/m/09x0r"
--EFQ_UskqI, 140.000, 150.000, "/m/09x0r"
--EG-JqO4S0, 30.000, 40.000, "/m/02mk9,/m/07pb8fc,/m/07q2z82,/m/09x0r,/t/dd00130"
--ENdhk8DH4, 30.000, 40.000, "/m/09x0r"
--EQQVMYe50, 30.000, 40.000, "/m/02zsn,/m/09x0r"
--EQegXxPiI, 50.000, 60.000, "/m/04rlf,/m/05pd6,/m/0ggq0m"
--ERHDSdxGQ, 30.000, 40.000, "/m/04rlf,/m/068hy,/m/07rc7d9,/m/09x0r,/m/0bt9lr,/m/0jbk"
--ERXu9VVGE, 30.000, 40.000, "/m/01z7dr,/m/04rlf"
--Eb56f4mR8, 22.000, 32.000, "/m/04rlf,/m/09x0r"
--Ee0H3owXo, 30.000, 40.000, "/m/0342h,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y"
--Efpk4ciwU, 30.000, 40.000, "/m/04rlf,/m/09x0r"
--EjZvjjv4k, 50.000, 60.000, "/m/019jd,/m/02rlv9,/m/07yv9,/m/09x0r"
--EnKcYsPas, 210.000, 220.000, "/m/0261r1"
--EvlvpRU7I, 340.000, 350.000, "/m/02rr_"
--Evvi58CcI, 22.000, 32.000, "/m/02p0sh1,/m/04rlf"
--F4laYscYE, 30.000, 40.000, "/m/04rlf"
--F6xCVmhuU, 30.000, 40.000, "/m/04rlf"
--F70LWypIg, 30.000, 40.000, "/m/04rlf,/m/07q2z82,/m/07yv9,/m/0k4j"
--F7pocClyA, 30.000, 40.000, "/m/04rlf"
--FAnSucpZY, 30.000, 40.000, "/m/04rlf,/m/09x0r"
--FF-68rDus, 30.000, 40.000, "/m/04rlf,/m/09x0r"
--FFKHDWrl8, 30.000, 40.000, "/m/09x0r"
--FFNHexBPI, 30.000, 40.000, "/m/09x0r"
--FGZJSouKc, 30.000, 40.000, "/m/04rlf"
--FJhcfXeow, 30.000, 40.000, "/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/0fx80y"
--FMnzXQLik, 30.000, 40.000, "/m/04rlf"
--FNPPU2uzQ, 30.000, 40.000, "/m/04rlf"
--FTU73CoUk, 30.000, 40.000, "/m/04rlf,/m/09x0r"
--FenyW2i_4, 30.000, 40.000, "/m/04rlf,/t/dd00004"
--FidOvUmIc, 30.000, 40.000, "/m/04rlf"
--FobqZvbgI, 30.000, 40.000, "/m/05zppz,/m/09x0r"
--Fti-jdXEI, 240.000, 250.000, "/m/04rlf,/m/0y4f8"
--G-wKyj6JQ, 30.000, 40.000, "/m/03q5t,/m/04rlf"
--G3Nkp8kbY, 30.000, 40.000, "/m/04rlf"
--G9OFlSImU, 30.000, 40.000, "/m/01s0vc,/m/09x0r"
--GD_YsX6-U, 21.000, 31.000, "/m/09x0r"
--GF746y6UM, 510.000, 520.000, "/m/018vs,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y"
--GGkCqBhsI, 8.000, 18.000, "/m/04rlf,/m/09x0r"
--GO4mUUJrE, 21.000, 31.000, "/m/04rlf"
--GV991-tmA, 30.000, 40.000, "/m/04rlf"
--GVX9ZWZl4, 30.000, 40.000, "/m/09x0r"
--GWNMlbJ3s, 0.000, 10.000, "/m/03lty,/m/04rlf"
--GXulx19TI, 80.000, 90.000, "/m/04rlf,/m/064t9"
--GY4nqPqOI, 30.000, 40.000, "/m/081rb"
--G_b6y5PNA, 30.000, 40.000, "/m/09x0r"
--GcThRqfjM, 30.000, 40.000, "/m/04rlf,/t/dd00004"
--Gh6Pr7VMM, 4.000, 14.000, "/m/04rlf,/m/09x0r"
--GhscMUci4, 30.000, 40.000, "/m/04rlf,/t/dd00004"
--GreAs6Iow, 30.000, 40.000, "/m/04rlf"
--Gv2EI2a-U, 30.000, 40.000, "/m/09x0r"
--GvdHSAsBs, 20.000, 30.000, "/m/02pjr4"
--GvhCexa_E, 30.000, 40.000, "/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/09x0r,/m/0fx80y"
--GxVxOTDrg, 30.000, 40.000, "/m/09x0r"
--Gy6Dsgf1A, 30.000, 40.000, "/m/09x0r,/m/0j6m2"
--GyJoJ02e0, 30.000, 40.000, "/m/04rlf"
--H-b04fBAQ, 30.000, 40.000, "/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/0fx80y"
--HG_OhVeV4, 30.000, 40.000, "/m/015p6,/m/09x0r"
--HP_b6NfZ4, 30.000, 40.000, "/m/04rlf,/m/0c1dj"
--HSUhku6tM, 30.000, 40.000, "/m/09x0r"
--HShRCbTJI, 30.000, 40.000, "/m/04rlf"
--HXYSM3ydo, 2.000, 12.000, "/m/0912c9,/m/09x0r"
--HZ0BhNg4Y, 30.000, 40.000, "/m/09x0r"
--H_-CEB2wA, 30.000, 40.000, "/m/01g50p,/m/06d_3,/m/07jdr,/m/07rwm0c"
--HiqZbHZUE, 30.000, 40.000, "/m/06h7j"
--HkAwoDQlg, 30.000, 40.000, "/m/04rlf,/m/09x0r"
--HqR0WzgIA, 30.000, 40.000, "/m/09x0r"
--HuBNHXu9I, 30.000, 40.000, "/m/02qldy,/m/05zppz,/m/09x0r"
--HvLgS81PY, 30.000, 40.000, "/m/04rlf"
--HwDyJ4Icw, 30.000, 40.000, "/m/04rlf,/m/09x0r"
--I1JAkp8G0, 30.000, 40.000, "/m/09x0r"
--I2373YpgM, 30.000, 40.000, "/m/03k3r,/m/04rlf,/m/07rv9rh,/m/0jbk"
--I878jVbrY, 30.000, 40.000, "/m/04rlf"
--IA0ygDpTc, 27.000, 37.000, "/m/09x0r"
--IDbdKuUnw, 30.000, 40.000, "/m/09x0r"
--IHiTgsaIk, 10.000, 20.000, "/m/02zsn,/m/09x0r"
--INXrf9zV4, 30.000, 40.000, "/m/04rlf,/m/0gywn"
--IOqc-XgYo, 0.000, 10.000, "/m/04rlf,/m/04szw,/m/05148p4,/m/05r5c"
--IVng5n_Mw, 15.000, 25.000, "/m/03k3r,/m/07q5rw0,/m/0jbk"
--IlDqOv-iQ, 30.000, 40.000, "/m/04rlf"
--IljlQnTJc, 130.000, 140.000, "/m/04rlf"
--ImdmV8n9A, 30.000, 40.000, "/m/09x0r"
--IqiaYyKLI, 30.000, 40.000, "/m/04rlf"
--Irx7VexfM, 20.000, 30.000, "/m/04rlf,/m/09x0r"
--IsizwatBY, 30.000, 40.000, "/m/04rlf,/m/06j6l"
--ItuZWjmtE, 130.000, 140.000, "/m/04s8yn"
--Iuzt-j0wA, 30.000, 40.000, "/m/09x0r"
--J1326hTc0, 30.000, 40.000, "/m/01z7dr,/m/03r5q_,/m/04rlf"
--J3R_h06NQ, 30.000, 40.000, "/m/09x0r"
--J4OPqYJQ4, 30.000, 40.000, "/m/09x0r"
--J5d9htEO0, 30.000, 40.000, "/m/09x0r"
--J947HxQVM, 0.000, 9.000, "/m/07r04,/m/07yv9,/m/09x0r"
--JEULhKhjc, 30.000, 40.000, "/m/04rlf"
--JK8Gc2Gbg, 250.000, 260.000, "/m/02cz_7,/m/04rlf"
--JVc5o7vAM, 30.000, 40.000, "/m/04rlf"
--JW1t9Gtok, 30.000, 40.000, "/m/04rlf,/m/09x0r"
--JYSpBz-Qo, 30.000, 40.000, "/m/09x0r"
--JZpjx0meo, 30.000, 40.000, "/m/09x0r"
--J_SHHhb4o, 30.000, 40.000, "/m/04rlf"
--Jcz_RawUA, 30.000, 40.000, "/m/01j4z9,/m/01yg9g"
--JgzdKQDSI, 30.000, 40.000, "/m/09x0r"
--JkWwJYgVw, 27.000, 37.000, "/m/04rlf,/m/09x0r"
--JqhHHtj4Y, 30.000, 40.000, "/m/04rlf"
--Jtf6lSgoY, 30.000, 40.000, "/m/09x0r"
--JuazCrgqU, 30.000, 40.000, "/m/04rlf"
--JxAySnD3Y, 260.000, 270.000, "/m/01bns_,/m/0342h,/m/042v_gx,/m/04szw,/m/0fx80y"
--Jy7dS17Xc, 30.000, 40.000, "/m/09x0r"
--JyrdKlNME, 30.000, 40.000, "/m/04rlf"
--K1NguYsKY, 10.000, 20.000, "/m/026t6,/m/03_d0,/m/04rlf,/m/04szw,/m/05pd6,/m/0l14_3"
--K2ZlsdQ4o, 30.000, 40.000, "/m/07yv9,/t/dd00128"
--K3100xfu8, 30.000, 40.000, "/m/04rlf,/t/dd00033"
--K53tRgAOg, 30.000, 40.000, "/m/02x984l"
--K6n5zcszo, 70.000, 80.000, "/m/02lkt,/m/04rlf,/m/07s72n"
--K91QrLI4g, 30.000, 40.000, "/m/02zsn,/m/09x0r"
--K9YkLW1UY, 30.000, 40.000, "/m/04rlf,/m/09x0r"
--KBFT1yHVY, 30.000, 40.000, "/m/04rlf,/m/09x0r"
--KCIeTv6PM, 18.000, 28.000, "/m/01yrx,/m/068hy,/m/07r81j2,/m/0jbk"
--KMCJIHwK4, 30.000, 40.000, "/t/dd00003"
--KO4TmxUfc, 30.000, 40.000, "/m/04rlf,/m/09x0r"
--KOVP2LfZw, 30.000, 40.000, "/m/09x0r"
--KPb4IOOzE, 30.000, 40.000, "/m/09x0r"
--KR9VeFjSs, 30.000, 40.000, "/m/02qldy,/m/05zppz,/m/09x0r"
--KW4tmtpTM, 30.000, 40.000, "/m/09x0r"
--KWWlNH1O0, 110.000, 120.000, "/m/03r5q_,/m/04rlf,/m/0g293"
--KX9pVOD4M, 0.000, 10.000, "/m/09x0r"
--KYALrhHy4, 30.000, 40.000, "/m/03qtwd,/m/04rlf,/m/09x0r,/t/dd00128"
--Ka1oQaSfA, 30.000, 40.000, "/m/04rlf,/m/04szw,/m/07y_7"
--Ka6I-9zfk, 30.000, 40.000, "/m/09x0r"
--KdMg39p4k, 200.000, 210.000, "/m/04rlf,/m/0790c"
