# Segments csv created Sun Mar  5 10:54:31 2017,,
# num_ytids=22160, num_segs=22160, num_unique_labels=527
YTID,start_seconds,end_seconds
#NAME?,30,40
#NAME?,30,40
#NAME?,30,40
#NAME?,90,100
#NAME?,440,450
#NAME?,90,100
#NAME?,150,160
#NAME?,60,70
#NAME?,30,40
#NAME?,40,50
#NAME?,130,140
#NAME?,18,28
-i-9C48tduw,500,510
#NAME?,50,60
#NAME?,17,27
#NAME?,30,40
#NAME?,9,19
#NAME?,30,40
#NAME?,10,20
#NAME?,30,40
#NAME?,30,40
#NAME?,30,40
#NAME?,10,20
#NAME?,30,40
#NAME?,90,100
#NAME?,80,90
#NAME?,30,40
#NAME?,0,5
#NAME?,30,40
#NAME?,50,60
#NAME?,30,40
#NAME?,30,40
#NAME?,29,39
#NAME?,30,40
#NAME?,170,180
#NAME?,240,250
#NAME?,50,60
#NAME?,200,210
#NAME?,30,40
#NAME?,30,40
#NAME?,30,40
#NAME?,270,280
#NAME?,140,150
#NAME?,490,500
#NAME?,100,110
#NAME?,30,40
#NAME?,70,80
#NAME?,60,70
#NAME?,30,40
#NAME?,220,230
#NAME?,30,40
#NAME?,30,40
#NAME?,30,40
#NAME?,60,70
#NAME?,70,80
#NAME?,12,22
#NAME?,540,550
#NAME?,0,10
#NAME?,1,11
#NAME?,30,40
#NAME?,20,30
#NAME?,30,40
#NAME?,30,40
#NAME?,40,50
#NAME?,230,240
#NAME?,240,250
#NAME?,5,15
#NAME?,190,200
#NAME?,60,70
#NAME?,30,40
#NAME?,30,40
#NAME?,110,120
#NAME?,90,100
#NAME?,160,170
-r1H8hBeYmw,21,31
-r7iz-9v9bA,30,40
#NAME?,30,40
#NAME?,180,190
#NAME?,120,130
#NAME?,7,17
#NAME?,30,40
#NAME?,90,100
#NAME?,30,40
#NAME?,20,30
#NAME?,290,300
#NAME?,230,240
#NAME?,30,40
#NAME?,110,120
#NAME?,0,10
#NAME?,30,40
#NAME?,30,40
#NAME?,290,300
#NAME?,160,170
#NAME?,30,40
#NAME?,30,40
#NAME?,20,30
#NAME?,140,150
#NAME?,30,40
#NAME?,80,90
#NAME?,6,16
#NAME?,0,10
#NAME?,150,160
#NAME?,30,40
#NAME?,330,340
#NAME?,30,40
#NAME?,30,40
#NAME?,50,60
#NAME?,70,80
#NAME?,30,40
#NAME?,30,40
#NAME?,340,350
#NAME?,240,250
#NAME?,30,40
#NAME?,19,29
#NAME?,170,180
#NAME?,30,40
#NAME?,30,40
#NAME?,0,10
#NAME?,10,20
#NAME?,180,190
#NAME?,0,4
#NAME?,90,100
#NAME?,30,40
#NAME?,110,120
#NAME?,30,40
#NAME?,30,40
#NAME?,310,320
#NAME?,11,21
#NAME?,30,40
#NAME?,420,430
#NAME?,60,70
#NAME?,30,40
#NAME?,120,130
#NAME?,50,60
#NAME?,100,110
#NAME?,0,4
#NAME?,120,130
#NAME?,30,40
#NAME?,30,40
#NAME?,30,40
0-3jSTs2Zsw,30,40
0-DkUF7TnnI,60,70
0-FH0xbm4gQ,580,590
0-bqcP2usR4,30,40
0-fd-lvizrY,30,40
0-rNk6mnMCA,30,40
00M9FhCet6s,100,110
00W1lcxW-WU,40,50
00mE-lhe_R8,16,26
0150dZu3Na8,0,8
01B907_Gyys,160,170
01PzcPKT3_E,30,40
01bTS8O2Xnc,18,28
01hjVJN9xCg,30,40
01k1v-NgjWs,0,6
01q8wKX4XEQ,60,70
01xpKyI0rXA,180,190
021B2ozAjNg,110,120
0298WjE3_tk,20,30
02JEvDAcq7U,10,20
02QXbqf9bbw,350,360
02Qntw26enM,90,100
02R_w3cr1i4,5,15
02aq42RDm2Q,30,40
02n2I1JHq4U,8,18
02pl9PaQwmI,30,40
02q5C77_xeQ,250,260
02rLonMSO9k,60,70
02tl_ek8f9I,30,40
02z_7DUC_74,80,90
032FsMMKWqM,0,10
03EmZCCkf-E,24,34
03NLMEMi8-I,30,40
03frQGyrgQ4,30,40
03kFLTZguBs,100,110
03lAXcmqsMU,30,40
03z0rpIkm5g,30,40
046ynbCwM90,30,40
04JKX_vlePE,90,100
04RDcHpgzTM,50,60
04SFLoexHDo,190,200
04gv6MSFimA,100,110
058Nv060Fz4,30,40
05H3CBB2oiI,30,40
05OJDYeHLMc,30,40
05wEdbchyjM,10,20
06Brdf83RZE,30,40
06IU9WsEp3s,130,140
06J19koRu_4,20,30
06OT6nqAuLM,50,60
06PzXIqzQXM,200,210
06k-cXmaeAY,30,40
06kaFCdYJ3U,0,10
06sLGiMrWlw,30,40
06yVT1kiZLY,30,40
07-3grCQ8EU,30,40
07-vpXo91XM,70,80
075SHAj6J3Y,30,40
07J4uVMPSW4,30,40
07MJhv4uVlU,30,40
07T0BRnolXg,30,40
07VlN0dItyc,30,40
07ZERJd7-9c,310,320
07aVkZp3k7Q,80,90
07eQfg1IXzw,0,10
07mS0mSTDjY,30,40
07vCFDpflcQ,80,90
07yYzDPUPX8,160,170
088pGlFlgb4,50,60
08IPzx0imsA,30,40
08JpxCv_Bek,30,40
08U71rh7cDw,5,15
08YFRFx-g7s,30,40
08u-jdwjM74,300,310
09TC9Yj7SHM,30,40
09_A89lHfNo,50,60
09aRpEfUxT0,30,40
09l9A1XVbpY,10,20
09prsO9YM2c,30,40
09w-ZFasRvE,60,70
09zT8qlC384,30,40
0AAvXso7C5c,160,170
0ADP-O_V3vA,30,40
0ADfdHN1N2w,410,420
0AGHo8V8HpM,130,140
0AHA6Zz-ykw,30,40
0AV_U7kjgLU,190,200
0AhX-ReXovI,120,130
0AlEfN3Ye0U,30,40
0B3y6sa8jgw,540,550
0BFauf6TGGU,0,10
0BvcQAgQ0SE,26,36
0CDP7zl6wCQ,30,40
0DSVOjk2NfA,30,40
0DYH0sqDXB8,30,40
0DefiYiEF4E,19,29
0DgH-2g6Tmk,30,40
0Djf1pI711g,150,160
0E7qHzvEuyU,60,70
0E8p38QTjgI,60,70
0EM3MvTgPL4,20,30
0Ed-5hq7AdE,30,40
0Ei3BcBr5aE,30,40
0EkXQKzNjkg,30,40
0EsJvIfMx0w,30,40
0EzWmAPwoTs,260,270
0F3WEUPxWCM,0,7
0FCFuHAWpv8,280,290
0FHa462_1Mc,100,110
0FMR_VBW5TU,70,80
0FMdORf5iGs,30,40
0FQo-2xRJ0E,30,40
0G6lil4WFEM,30,40
0GQFYsxMP9Y,130,140
0GXfryMBkGw,500,510
0Gj0gGPGlMA,0,10
0GmmPp502DA,30,40
0GqvQbY8ftc,130,140
0H2uMhzSitY,520,530
0H3FAoDgzhI,30,40
0H7e3F9KL78,0,10
0H8Co8jdbT4,30,40
0HDoqcA727o,30,40
0HQCuY_XQa8,0,10
0HVlzmjFe7k,20,30
0HqSxnJEXxA,0,10
0Hz4R_m0hmI,80,90
0I3E-auy8JA,30,40
0INaX5s-FNI,30,40
0IUR0a8uR5c,30,40
0I_Pi3zt4WY,0,10
0JDlM0Wolms,0,10
0JKcTVpby0I,30,40
0JPT13OUVV8,220,230
0J_2K1Gvruk,30,40
0K-zyeLuKho,30,40
0K7573uICwg,21,31
0KXI3QmISXM,30,40
0KXc1iKGh7s,14,24
0KnYLPxGYf0,30,40
0Kwzah-Rf70,40,50
0L3vcdzQPPU,30,40
0L7-8yqgMEo,130,140
0LEZB41K8o8,0,10
0LPF76p5WSs,530,540
0LeKOO8Uzig,60,70
0LoFUGfk6MY,270,280
0Lt4MP0-6Tc,590,600
0Ly5mdtHGzE,260,270
0M0coGIaGBs,30,40
0M7nETLOsKQ,30,40
0M8SMwwe0Ow,30,40
0MJPqGKIbZg,20,30
0ML_fBIrGqA,10,20
0MOeailZgUo,70,80
0MWEIhf9RHU,140,150
0N0ehlFFkF0,60,70
0N5BFy71y2U,130,140
0NSzeHaja5o,30,40
0NTzOtVmoiU,60,70
0NZY0GHQBP0,240,250
0N_JKGLWEMc,30,40
0NbN9By4eYw,30,40
0NbRRq0L8o8,0,10
0Nie2fq4Z00,30,40
0NmeO0eH9ig,300,310
0NyrNJAXrIo,30,40
0O9ZfRn69i8,30,40
0OLpIiSBlfc,60,70
0ONdm4sW47c,30,40
0OhsCzuk3hI,18,28
0OhtODbKajw,350,360
0OiPtV9sd_w,30,40
0PIt9R2GD8Q,30,40
0PKXu1l0OJk,40,50
0PNUMPym0I8,240,250
0PWLf2cAkU8,20,30
0PhU-PIsUMw,80,90
0Pok_BH75zY,0,10
0PpQ8rBtnVM,30,40
0Q1JLNfm8oU,30,40
0Q5mzNz2hiA,0,10
0QAaln-hjPw,30,40
0QDYPyHwLhk,390,400
0QF9Nq_WG1c,10,20
0QKet-tdquc,30,40
0QSZ9Fr1qeQ,30,40
0QYNC7J05XI,30,40
0Q_-akJTU-0,30,40
0Qj73JaG8Ik,30,40
0QkL6IH7Jqk,20,30
0QzVs8IBn_E,30,40
0R348vGkjyw,30,40
0R8NB5yxmMk,10,20
0RDz0rLakwc,30,40
0RjFykTxCvc,30,40
0RlxIDv_78w,1,11
0RpkkfkUBRU,10,20
0Rqmp6q4wFk,30,40
0S5zWt91Bwo,30,40
0SEHGxAQL18,30,40
0SP01BfLUOo,30,40
0SRRe7FAJCI,30,40
0SblEOkB43I,0,10
0SkccP8H-fQ,390,400
0StCxWx9dV8,30,40
0SuL-BgsmAs,0,10
0SuuPw45rLk,22,32
0SypBcVpZ0E,140,150
0T45fkKkCCk,30,40
0TIuwSaevec,30,40
0TPOLU68O9s,8,18
0TUudXf0l54,30,40
0Tgam1uSqm4,440,450
0UJBVLInFr0,30,40
0UPY7ws-VFs,10,20
0USa1NWd1XA,320,330
0Uf9LM840vA,40,50
0Ufv6VdlPHM,30,40
0UiTDRQBGcM,15,25
0Us4I_vXrf4,11,21
0V7XP7n7ZTQ,160,170
0VIHkdBPImc,290,300
0VIITf_iLoE,0,6
0VcSPe-xT5Y,0,4
0VeuAMr9goQ,30,40
0VsjSa1X7iA,30,40
0VwX92X3iPc,30,40
0W69ei8lbec,220,230
0WHpzy7neu0,30,40
0WIZKo11Zzg,30,40
0WJK4SWu0Zk,30,40
0WWuZRd-O3c,0,10
0WXM7GSgTpE,10,20
0WZ8CocF6DQ,30,40
0WcaojOADSk,490,500
0Wdh45yt7tY,50,60
0Wl-_a7_lGA,520,530
0WmHby5gfSo,40,50
0WmhtEzutdc,70,80
0Wovyc4_k8Y,30,40
0Wt_S3ZEp_I,30,40
0X-VJBUONsU,340,350
0X6CXKUbX6g,30,40
0XLRAeltins,550,560
0XRuJ6NW9yM,30,40
0XVYUK5G_sw,21,31
0XXyOMw32z8,30,40
0XjfhlZVmO0,60,70
0XnlJAdG5e8,30,40
0XrVauCq9JU,30,40
0XuCucHevvE,9,19
0Y2Pt02QXFQ,30,40
0Y2yEMQZFYY,40,50
0Y74Yz__IEY,160,170
0YFU2RYKHyU,30,40
0YHK15saav8,580,590
0YcJSD6q-yw,0,10
0YjENFbHCfU,1,11
0YsXXGEVmy8,30,40
0ZNFJz-eZTU,120,130
0ZXWSO_Y2C0,160,170
0ZdquGB7riA,30,40
0Zh8HjR0CbM,25,35
0Zmyypda0VY,20,30
0ZqLJ1n7gAs,330,340
0ZvSn_SZFXQ,0,10
0_QcatLmg7c,30,40
0_QxGGzOvVI,0,4
0_R83lyXiaU,30,40
0_b9p0gjbgE,510,520
0_h8K8CMaF0,30,40
0_hH79HnEdo,30,40
0_utuoBWKmo,17,27
0a3sS0cfsQk,370,380
0a6uLBmqZgA,30,40
0aCvJzMN-SE,0,10
0aJ4ncKJqIg,280,290
0aKuES6SO2k,50,60
0abfTrxjX-4,30,40
0aer7MFIYQk,50,60
0amHVSbkaX8,60,70
0aqEAvk8zQY,280,290
0arN4pk83lA,30,40
0auuJJiE2xI,30,40
0bR-EsIOoz0,10,20
0bV3_9--5PM,30,40
0bbgeqkDm6U,30,40
0c-nIj_HjmY,0,10
0c6sZTvY_xc,30,40
0c7a5ZyEtf4,0,10
0cS0h-5XVxU,340,350
0ccK49fwj1o,90,100
0cd_fXxQq3c,30,40
0cjmAt96WEI,70,80
0cr9YtzgZT4,30,40
0ct9AETvIdE,30,40
0cwIKnoMEBE,40,50
0cxKT0ROoF4,30,40
0d3kh_lETKc,100,110
0d5HRE6Jx3o,60,70
0dLpcotJusI,30,40
0dkcl7MGFyA,170,180
0e1wdxCx0ME,30,40
0eAbf3x4foY,0,10
0eK_cwwvWAs,50,60
0ehwxbvn3d0,320,330
0ew5tlxyZNg,4,14
0ewWspUqB6Y,430,440
0exM1vzlKDg,30,40
0exdCRkBniI,300,310
0exkCi_xJDM,30,40
0ey3c39Vll8,80,90
0eymuxOpj8s,140,150
0f2A-lZYAnw,30,40
0fFIg5WLnm0,30,40
0fIvxfWezRU,30,40
0fNI6KbbQI8,26,36
0fQFDu2adRk,30,40
0fSgvtg_OhU,30,40
0fm0oU8FO0U,30,40
0fvNZIpSjS0,30,40
0g43Ad6e-40,30,40
0gcJJ_M3gP0,30,40
0ghsGP6AeHw,30,40
0gi_2J5wEO8,410,420
0gzJkUrw-ko,110,120
0h6dpegN0f4,30,40
0hdanhk-EdE,50,60
0hipL0SkXMo,40,50
0hoeAmqwvyY,160,170
0hrpu0UHkVw,260,270
0hw_BB4QN34,220,230
0hz1GISR2tI,30,40
0i2tnmGFHsI,30,40
0iDM2s8kDIA,290,300
0iNkEzDn2ys,580,590
0ibiAsHSauA,30,40
0irFGhfq0t8,330,340
0ix_rHxU54w,30,40
0j8uGnMwGbs,0,7
0jBiK305ZIY,30,40
0jFN112eGVQ,21,31
0jXTBAGv9ZQ,140,150
0jaaX-we-8g,0,10
0jsCjvHoCtM,60,70
0jzTEIxgsjM,30,40
0kBQ71uzBNc,30,40
0kGkJuynFEI,20,30
0kdRxEiEGIs,190,200
0khKvVDyYV4,240,250
0kuZvI5eQwg,30,40
0l1Z-qU6dtI,30,40
0l70KR79oOI,30,40
0l8d_NhvFwY,80,90
0lIETNZ_7sg,30,40
0m72FCNQQEI,40,50
0m9CbkMad_k,150,160
0mG5unAv2_A,170,180
0maiaspDy5k,110,120
0mgA3_glqYo,160,170
0mgwBb6HO-k,420,430
0mkgZLfBqsg,30,40
0nCSWuPhU-w,0,7
0nEs0eUZNbg,30,40
0nNmbkU8GBI,100,110
0nP5mb2DCtA,30,40
0nT-W79s0ck,480,490
0nYhDvktiJo,50,60
0ng703aLhXs,17,27
0nk7utNkHOY,190,200
0npLQ4LzD0c,40,50
0o4vHYlTPBA,210,220
0oIFGARD9xE,410,420
0oSykzOfBO0,0,10
0obQ_a6Cm-c,30,40
0ogrLUe_WSY,40,50
0olOcmJ0ceg,130,140
0omVgdC33FQ,10,20
0pJwADdUrRo,30,40
0pKW6LBhKOA,30,40
0paO14gvFAk,20,30
0paz5XP8YSs,190,200
0pgG7Rk_eqM,140,150
0pr3Huz6pq8,180,190
0pxApm5Y6eM,140,150
0q-80dzp6PU,60,70
0qCbtn--t6Q,30,40
0qMF1IbyV3I,60,70
0qQL0t97qf8,110,120
0qUXJz4HH_E,10,20
0qZ3tI4nAZE,6,16
0qbp0OtOvl4,30,40
0qo1j2UeWmk,250,260
0qri4nnfgQQ,30,40
0qtbbK5HVMw,330,340
0r5gUOfAzeA,30,40
0rAyrmm7vv0,30,40
0rNr_qnoPQ4,30,40
0rTIwRC4VvM,0,10
0rcgzQpsWYs,30,40
0rhb_K228gA,30,40
0so0iKHpBCo,17,27
0sqyr0zVeKg,290,300
0suNPEw298g,30,40
0t2VTlFdpss,0,10
0tG2x7XHl5w,30,40
0tn9MdMeXKw,210,220
0u1sk49gAU0,20,30
0u4gY1bBUwQ,250,260
0u5-WiBKam8,50,60
0uLSjMXfurI,60,70
0uODb2x58so,30,40
0uWEnGBLjXI,30,40
0urv4EcbPAM,90,100
0v--fTVAWE8,170,180
0vEuPMg759s,70,80
0vjJHHSeCqM,40,50
0vm7UpkSOnk,30,40
0vxnu9MTHg8,30,40
0w1DJl3BCrY,470,480
0w9AACEy4u8,280,290
0wBoVQQOyGA,30,40
0wLyVkC2mqA,210,220
0wS8CxS6kxo,370,380
0wiQzgy8F7U,30,40
0x6chChxzV0,30,40
0xVpqjSaO4o,30,40
0xX5k9enX1M,50,60
0xbuSI6TkmM,22,32
0xhFnKIdYFg,90,100
0xps9c25LqE,180,190
0y1cx6UZNWo,100,110
0y3tr-QUGY0,50,60
0y7HFtVsLiw,80,90
0yQlMpe5gj8,30,40
0yRn5wEopkQ,90,100
0yZgsUq3yWY,30,40
0yjZRw5Ks3Y,30,40
0zI3XimbdLI,30,40
0zZyrJDnaXI,210,220
0zfWGqDMT04,30,40
0zg9j5y1q3Q,20,30
0zolXzR9Oi4,30,40
1--9ZSW-7Rg,210,220
1-dMI6S5rLs,21,31
1-fXYR9FTfM,30,40
1-ppkS41Lbs,470,480
100CKdZMyQw,20,30
1018edESAkw,0,10
10dur7jhFQM,30,40
10hOQD8EgQc,30,40
10mtAupS0I4,0,10
11-d3rWQxZY,40,50
11D0JdB7_4k,120,130
11KPI6wjtNw,20,30
11Pn3yJifSQ,4,14
11UU7LH_O3g,0,10
11fNNN95_og,30,40
11nYg-lGu3g,30,40
11p3k7duyKc,30,40
11quy4AMt0I,30,40
12_M0UL7Vfg,30,40
12gteLLmj2Q,280,290
12hZKc3FZOY,210,220
12qbcBfSVKA,390,400
12unJJUHEt4,30,40
12yjIm0Z8Cw,80,90
13NbKtlQ1t0,240,250
13PjLquqF3U,440,450
13gVMuGhK3g,240,250
13n6n6nKMhI,130,140
13tn4LAAFWU,460,470
13x4gF1RPBQ,470,480
14UdSeNlIlM,30,40
14wI64-FNvk,90,100
156So13GHC0,21,31
15CZ2h5VL-A,30,40
15HIl2pN6qQ,50,60
15_EuEnJLmk,50,60
15cExYBs0D4,360,370
15htpcg-ii4,230,240
15mQMIemjFM,90,100
15q_K5r3RzU,0,10
15z-gbPxdXg,30,40
15zV8DW9sPY,30,40
16-gCmo355I,0,7
161-FGTcecc,120,130
164R3i5s7-8,40,50
16F5fdORzSo,30,40
16JSezE643E,0,10
16VxjI3ubJs,130,140
17BqM45nQxI,50,60
17MZTRQd5E0,50,60
17b8kaVOi9c,30,40
17bfDrV7bvY,30,40
17kDSc8viaY,170,180
17w1AX8H0_M,80,90
1812KIJ0V60,30,40
18VKeKPO7So,30,40
18booxzbgjQ,70,80
18dzwOnCKds,30,40
18k-E_2b7rs,40,50
18zupo38Cj4,30,40
19-GI2LzOtc,140,150
192AgE8E-cw,140,150
194N_h5CGzA,30,40
19DRe0cdeXQ,20,30
19L9D-ybSGg,4,14
19Pp9QEw17U,30,40
19tPF3TY3g0,30,40
19v5EvjdToU,30,40
1A9-sgX7qMg,10,20
1AOe82obwcY,30,40
1AR2ozHEMWI,320,330
1AlmsqlPdwM,450,460
1ArUx6UCxe4,30,40
1AwDdAiWVqY,30,40
1BQW0MFUhL8,30,40
1BTJQY-2OwY,100,110
1BXaCy0ox3c,280,290
1C4nSK4AZlM,30,40
1C6VhOCffIE,60,70
1CKGuGiDxYA,40,50
1Ccis4FDGwY,20,30
1Chb_m4zWOs,0,10
1Co1uyI6Ulw,7,17
1CouJesdH7M,300,310
1DH7AhyL0KU,13,23
1DiSaLjlU80,540,550
1DvlbESnFjo,30,40
1DxLwZhTj0A,30,40
1E256RRhLus,6,16
1E8TnKaIU9Q,330,340
1EH8T2KCFO8,30,40
1EORv8kpOaY,100,110
1EU64OKtfw4,10,20
1E_3Grl-3PA,340,350
1EqtrXZjiJY,7,17
1Eyl9QV-tyw,260,270
1FBW61gbpaA,570,580
1FQjqLc6m7w,30,40
1FnT0RrfMEA,30,40
1G0ibSUBv2g,30,40
1G3TdBrW7ys,30,40
1G95m_2exAc,110,120
1GCOnj53QYM,0,10
1GG3QoDNLFM,30,40
1GO3ZvO4tfk,140,150
1GSgIoyfFco,30,40
1GYfkje0--U,30,40
1GekS7z6LAI,16,26
1H1yR1SK4_M,30,40
1HI6t8TManA,30,40
1HOHi5VAal0,30,40
1HPYHsdLYCQ,28,38
1HRReYt9Ytc,30,40
1He7811HtcI,27,37
1I7RdheghGs,360,370
1IFfUjdN91k,30,40
1IK4OeOqAEo,30,40
1ILLsA6gqHE,30,40
1IMi7yfZVVM,40,50
1Is1xfDjZrw,30,40
1IxBagCJeZc,150,160
1J-v2SVsSPQ,21,31
1JA4xWUWnxk,490,500
1JEa_q6nHOE,90,100
1JP7w0w8T44,10,20
